epoch,aptitude,team_name,starter,pokemon_1,pokemon_2,pokemon_3,pokemon_4,pokemon_5,pokemon_6
0,213,Team 0,4,Wishiwashi,Watchog,Chingling,Torterra,Noivern,Talonflame
0,147,Team 1,5,Palpitoad,Silvally,Seviper,Brionne,Rufflet,Gliscor
0,147,Team 2,0,Magmortar,Kingler,Noctowl,Cradily,Pignite,Kangaskhan
0,108,Team 3,2,Arcanine,Lileep,Greninja,Ponyta,Wormadam,Ralts
0,90,Team 4,2,Crobat,Scizor,Scraggy,Brionne,Mamoswine,Torkoal
0,81,Team 5,5,Durant,Budew,Tyranitar,Donphan,Lilligant,Slowbro
0,59,Team 6,1,Cherrim,Araquanid,Abra,Lickilicky,Exeggutor,Bouffalant
0,54,Team 7,2,Slaking,Metagross,Fomantis,Snubbull,Ferroseed,Honedge
0,41,Team 8,1,Decidueye,Pinsir,Gligar,Girafarig,Dedenne,Glameow
0,19,Team 9,1,Pinsir,Palossand,Castform,Totodile,Malamar,Magby
0,11,Team 10,4,Reuniclus,Espeon,Bouffalant,Druddigon,Seadra,Piplup
0,11,Team 11,5,Octillery,Scyther,Grimer,Snorlax,Crobat,Sunflora
0,9,Team 12,5,Muk,Cradily,Yungoos,Gothitelle,Stoutland,Maractus
0,8,Team 13,2,Wobbuffet,Pinsir,Ambipom,Tepig,Gardevoir,Sylveon
0,8,Team 14,3,Nidorina,Sceptile,Sewaddle,Vulpix,Medicham,Lycanroc
0,6,Team 15,5,Vanillite,Yanmega,Slugma,Altaria,Froakie,Poochyena
0,6,Team 16,2,Chinchou,Walrein,Clawitzer,Archen,Trevenant,Gengar
0,6,Team 17,2,Unown,Pyroar,Gothitelle,Zoroark,Ribombee,Delibird
0,5,Team 18,0,Sceptile,Teddiursa,Combee,Golurk,Riolu,Wailmer
0,5,Team 19,4,Bouffalant,Magnemite,Granbull,Floette,Tirtouga,Accelgor
0,4,Team 20,0,Beartic,Venomoth,Plusle,Sigilyph,Crustle,Crabrawler
0,3,Team 21,0,Togetic,Lickilicky,Porygon,Dartrix,Sableye,Cyndaquil
0,3,Team 22,0,Oricorio,Buneary,Excadrill,Tropius,Honchkrow,Goldeen
0,3,Team 23,5,Glaceon,Shiftry,Tyrogue,Treecko,Rockruff,Gliscor
0,2,Team 24,1,Ferrothorn,Vanilluxe,Wurmple,Florges,Togepi,Vanillish
0,2,Team 25,0,Gourgeist,Toxapex,Spiritomb,Happiny,Tentacruel,Ivysaur
0,2,Team 26,4,Sunkern,Minior,Ditto,Palpitoad,Delibird,Kingdra
0,2,Team 27,3,Gothita,Slowbro,Bewear,Relicanth,Emboar,Mime Jr.
0,2,Team 28,0,Diglett,Lotad,Leavanny,Grimer,Exeggutor,Gumshoos
0,1,Team 29,1,Flygon,Deino,Roselia,Jumpluff,Klink,Gothitelle
0,1,Team 30,0,Drowzee,Sudowoodo,Snubbull,Amoonguss,Woobat,Munchlax
0,1,Team 31,3,Kricketune,Togetic,Mareanie,Muk,Pignite,Flabebe
